원어,순화어,주의,치환전략,상태
밸리(valley(영)),"지구, -지(地), -골"
버블(bubble(영)),"거품, 거품 현상"
버티컬 라인(vertical line(영)),수직선
벌키(bulky(영)),부피감 있는
법면 보호(法面保護),비탈면 보호
벤더(vendor(영)),중간 유통 업자
"벤처 캐피털, VC(venture capital(영))",벤처 기업 자본
벤치마킹(benchmarking(영)),"① 본 따르기, 견주기 ② 성능 시험, 컴퓨터 성능 시험"
벨트(belt(영)),"지대, 구역, 지역"
벽지(僻地),외딴 곳
변개하다(變改--),다르게 고치다
변별하다(辨別--),"가리다, 분별하다, 옳고 그름 등을 분별하다"
별첨(別添),따로 붙임
보이스 피싱(voice phishing(영)),사기 전화
보직(補職),"담당 업무, 맡은 일"
"보태닉 공원, 보타닉 공원*(botanic park(영))","생태 공원, 식물원"
보텀업(bottom-up(영)),상향식
복대리인(復代理人),겹대리인
복본(複本),겹본
본무(本務),"주무, 보조, 본 업무, 맡은 일"
"볼런티어, 볼룬티어*(volunteer(영))",자원봉사자
부기하다(附記--),덧붙여 기재하다
부대시설(附帶施設),딸린 시설
부상하다(浮上--),떠오르다
부심하다(腐心--),"애쓰다, 힘쓰다"
부언하다(附言--),덧붙여 말하다
분수림(分收林),"이익 나눔 숲, 수익 분배림"
분장하다(分掌--),"나누어 맡다, 나누어 맡아 처리하다"
불구(不具),"장애, 신체 장애"
불비한(不備-),갖추어지지 않은
불요불급하다(不要不急--),필요하지도 급하지도 않다
불우 이웃(不遇--),어려운 이웃
불철주야(不撤晝夜),밤낮없이
불출(拂出),내줌
붐(boom(영)),"대유행, 성황, 대성황"
뷰파인더(viewfinder(영)),보기창
브랜드(brand(영)),상표
브로슈어(brochure(영)),"안내서, 소책자"
"브이에이엔, VAN(value added network(영))","부가 가치망, 부가 가치 통신망"
"브이오디, VOD(video on demand(영))",① 다시 보기 ② 주문형 비디오
블랙 아이스(black ice(영)),"노면 살얼음, 살얼음"
블랙리스트(blacklist(영)),① 감시 대상 ② 요주의자 명단
블랙박스(black box(영)),"운행 기록 장치, 운항 기록 장치"
블랙아웃(blackout(영)),대정전
"블록, 블럭*(block(영))",구역
비상 콜(非常 call(영)),비상 호출
"비아르티, BRT(bus rapid transit(영))","간선 급행 버스, 간선 급행 버스 체계"
"비엠아이, BMI, 비엠 지수, BM 지수(body mass index(영), BM(영) 指數)",체질량 지수
"비엠에스, BMS(battery management system(영))","배터리 관리 시스템, 배터리 관리 장치"
비주얼 머천다이징(visual merchandising(영)),"시각 상품 전략, 시각적 상품 전략, 시각 상품 기획, 시각적 상품 기획"
비즈니스 네트워킹 허브(business networking hub(영)),"사업 연계 중심, 업무 연계 중심"
비즈니스 센터(business center(영)),"사업소, 사업처"
"비티엘, BTL(build transfer lease(영))",임대형 민자 사업
"비티오, BTO(build transfer operate(영))",수익형 민자 사업
비품(備品),비소모품
비회(飛灰),날림재
사료하다(思料--),생각하다
사의(謝意),고마운 뜻
사의(辭意),"사직할 뜻, 사퇴할 뜻"
사이즈(size(영)),"크기, 치수"
사인(sign(영)),"① 서명, 수결 ② 신호, 암호 ③ 기호"
사일로(silo(영)),"저장탑, 저장 창고"
사장하다(死藏--),"묵혀 두다, 썩혀 두다"
삭도(索道),① 밧줄 ② 하늘찻길
상기(上記),위
상당액(相當額),① 해당액 ② 많은 금액
상동(上同),위와 같음
상사(上司),"윗사람, 상급자, 상급 기관"
상신(上申),"올림, 보고"
상응하다(相應--),걸맞다
"색인, 색인 목록(索引, 索引目錄)",찾아보기
샘플(sample(영)),"보기, 본보기, 표본"
샘플링(sampling(영)),"표본 추출, 표본, 표본화"
생력화(省力化),"노동력 절감, 노동력 줄이기"
서밋(summit(영)),"회담, 정상 회담"
서포터스(supporters(영)),"응원단, 후원자"
선수금(先受金),미리 받은 돈
선택 사양(選擇仕様),"선택 항목, 선택 품목"
설계 경기(設計競技),설계 공모
"설루션, 솔루션*(solution(영))","해결책, 해법"
세계 잉여금(歲計剩餘金),결산 잔액
세미나(seminar(영)),"발표회, 토론회, 연구회"
세이브(save(영)),"① 보존 ② 갈무리, 저장"
세이프 가드(safe guard(영)),긴급 수입 제한 (조치)
세컨더리 보이콧(secondary boycott(영)),제3자 제재
센서스(census(영)),"조사, 총조사"
셔틀버스(shuttle bus(영)),순환 버스
소(訴),소송
소급하다(遡及--),거슬러 올라가다
"소셜 네트워크 서비스, SNS(social network service(영))","누리 소통망, 누리 소통망 서비스, 사회 관계망, 사회 관계망 서비스"
소셜 커머스(social commerce(영)),공동 할인 구매
소스(source(영)),"출처, 자료, 원전"
소요(所要),필요,"2026-08-30 검수: 사전 값 '필요' 유지 — '약 2주가 소요됩니다→필요합니다', '소요 시간→필요한 시간', '소요 비용→필요한 비용' 모두 자연스러워 시간·비용 문맥을 모두 덮음. 소비자 대치어 '걸림'은 시간 전용이라 미채택 (consumer-overlap-policy §3.3)"
소요 자금(所要資金),"드는 자금, 필요 자금"
소요되다(所要--),"들다, 걸리다"
소인(消印),날짜 도장
소임(所任),맡은 일
소정 양식(所定樣式),"규정 서식, 정해진 양식, 정해진 형식, 정해진 서식"
소트(sort(영)),정렬
소화하다(消化--),불끄다
손상(損傷),① 다침 ② 상처
송달(送達),"보냄, 띄움"
송입(送入),국내 취업
송출(送出),"보내기, 내보내기"
쇄도하다(殺到--),몰려들다
쇄정하다(鎖錠--),잠그다
쇼윈도(show window(영)),"진열장, 전시장"
쇼핑몰(shopping mall(영)),"상점가, 상가"
수렴(收斂),모아들임
수령(受領),받음,2026-08-30 검수: 사전 값 '받음' 유지('받기'와 동등) (consumer-overlap-policy §3.3)
수리(受理),"받음, 받아들임"
수반하다(隨伴--),따르다
수배(手配),"찾기, 사람 찾기"
수범 사례(垂範事例),"모범 사례, 잘된 사례"
수불(受拂),받음과 치름
수속(手續),"절차, 순서"
수수(授受),주고받음
수수방관하다(袖手傍觀--),보고만 있다
수순(手順),"순서, 절차, 차례"
수지(收支),수입과 지출
수지고(手持高),보유량
수취인(受取人),"받는 이, 받는 사람"
수혜자(受惠者),혜택받는 사람
수화인(受貨人),짐 받는 이
숙람(熟覽),"세밀히 봄, 자세히 봄"
스마트 그리드(smart grid(영)),지능형 전력망
스마트 워크(smart work(영)),원격 근무
스몸비(smombie(← smart phone zombie)(영)),"스마트폰 몰입 보행자, 스마트폰 몰입 이동자"
스카이라운지(sky lounge(영)),"전망 쉼터, 하늘 쉼터"
스캔들(scandal(영)),"추문, 좋지 못한 소문"
스케일(scale(영)),"① 규모, 축척, 크기, 통 ② 크기 조정"
스케줄(schedule(영)),"일정, 일정표, 계획, 계획표, 시간표"
스쿨 존(school zone(영)),어린이 보호 구역
스크랩(scrap(영)),"자료 모음, 오려 모으기"
스크리닝(screening(영)),"선별, 훑어보기, 점검, 수비 차단"
스크린(screen(영)),① 화면 ② 영화
스크린 도어(screen door(영)),안전문
스키드 마크(skid mark(영)),타이어 밀린 자국
스타트(start(영)),"출발, 시작"
스타트업(start up(영)),"새싹 기업, 창업 초기 기업"
"스톱, 스탑*(stop(영))","정지, 정차, 멈춤"
스튜디오(studio(영)),"녹음실, 제작실, 촬영실, 방송실, 연주실"
스튜어드십 코드(stewardship code(영)),의결권 행사 지침
스포츠 콤플렉스(sports comflex(영)),스포츠 복합 단지
"스포트라이트, 스폿라이트*(spotlight(영))","집중 조명, 집중 조명기"
스폰서(sponsor(영)),"① 후원자 ② 광고주, 광고 의뢰자"
스폿 광고(spot(영) 廣告),토막 광고
스폿 뉴스(spot news(영)),"초점 뉴스, 반짝 뉴스"
슬랙 어저스터(slack adjuster(영)),"조절기, 간격 조절기"
슬로건(slogan(영)),"표어, 강령, 구호"
승률 비용(乘率費用),유사 원가 비용
시건(施鍵),잠금
시건장치(施鍵裝置),"잠금장치, 자물쇠 장치"
시너지(synergy(영)),"상승, 동반 상승"
시너지 효과(synergy(영) 效果),상승효과
시말서(始末書),경위서
"시머트리, 시메트리*(symmetry(영))","균형, 균제"
시스템(system(영)),"① 체제, 조직, 방식, 체계 ② 선수 배치"
"시에스, CS(customer satisfaction(영))",고객 만족
시연(試演),"시행, 시험 공연"
"시티, CT(current transformer(영))",전류 변성기
실권(失權),권리 상실
실례 가격(實例價格),시장 가격
실링(ceiling(영)),"한도액, 상한, 최고 한도액, 최고 한도"
실장(實長),"실제 길이, 전선 실제 길이"
심벌(symbol(영)),"상징, 상징 기호"
심포지엄(symposium(영)),"학술 토론회, 학술 토론 회의, 집단 토론 회의"
싱크 탱크(think tank(영)),"두뇌 집단, 참모 집단"
쓰나미(つなみ(일)),지진 해일
"아르앤디, R&D, R/D(research and development(영))",연구 개발
"아르에프아이디, RFID(radio frequency identification(영))",전파 식별
"아르에프피, RFP(request for proposal(영))",제안 요청서
"아르엠에스, RMS(records management system(영))",기록 관리 시스템
아우트라인(outline(영)),"윤곽, 테두리, 윤곽선"
아우트리치(outreach(영)),"현장 지원 활동, 현장 원조 활동, 거리 상담"
아이디어 챌린지(idea challenge(영)),"참신한 생각 겨루기, 아이디어 겨루기, 참신한 생각 공모, 아이디어 공모"
"아이시티, ICT(information and communication)","정보 통신 기술, 정보 문화 기술"
"아이아르, IR(investor relations(영))",기업 설명회
"아이오티, IoT(internet of things(영))",사물 인터넷
아이템(item(영)),"① 소재 ② 품목, 항목, 종목"
"아이티, IT(information technology(영))",정보 기술
"아이피, IP(intellectual property(영))",지식 재산
"아이핀, I-PIN(internet personal identification number(영))",인터넷 개인 식별 번호
아카이브(archive(영)),"자료 보관소, 자료 저장소, 기록 보관, 자료 전산화"
아키텍처(architecture(영)),"설계, 시스템 구성"
